編號,站名,lat,long,code,Eng,Eng2,code_2,eng_2,TOWNID,TOWNENG,townid_2,COUNTYNAME,TOWNNAME,towneng_2,COUNTYID,area_code
"18",港墘站,25.08004,121.57510,BR17,Gangqian,"0",,,,,A14,臺北市,內湖區,Neihu District,A,Neihu District
"19",文德站,25.07855,121.58552,BR18,Wende,Bihu Park,,,,,A14,臺北市,內湖區,Neihu District,A,Neihu District
"20",內湖站,25.08350,121.59421,BR19,Neihu,"0",,,,,A14,臺北市,內湖區,Neihu District,A,Neihu District
"21",大湖公園站,25.08301,121.60526,BR20,Dahu Park,"0",,,,,A14,臺北市,內湖區,Neihu District,A,Neihu District
"22",葫洲站,25.07272,121.60716,BR21,Huzhou,"0",,,,,A14,臺北市,內湖區,Neihu District,A,Neihu District
"23",東湖站,25.06713,121.61172,BR22,Donghu,"0",,,,,A14,臺北市,內湖區,Neihu District,A,Neihu District
"24",南港軟體園區站,25.05994,121.61593,BR23,Nangang Software Park,"0",,,,,A13,臺北市,南港區,Nangang District,A,Nangang District
"25",小碧潭站,24.97201,121.53049,G03A,Xiaobitan,Xindian Senior High School,,,,,F07,新北市,新店區,Xindian District,F,Xindian District
"26",新店站,24.95894,121.53858,G01,Xindian,Bitan,,,,,F07,新北市,新店區,Xindian District,F,Xindian District
"27",新店市公所站,24.96739,121.54100,G02,Xindian District Office,"0",,,,,F07,新北市,新店區,Xindian District,F,Xindian District
"28",七張站,24.97498,121.54310,G03,Qizhang,"0",,,,,F07,新北市,新店區,Xindian District,F,Xindian District
"29",大坪林站,24.98279,121.54103,G04,Dapinglin,"0",,,,,F07,新北市,新店區,Xindian District,F,Xindian District
"30",景美站,24.99352,121.54082,G05,Jingmei,"0",,,,,A11,臺北市,文山區,Wenshan District,A,Wenshan District
"31",萬隆站,24.99928,121.54024,G06,Wanlong,"0",,,,,A11,臺北市,文山區,Wenshan District,A,Wenshan District
"32",公館站,25.01194,121.53782,G07,Gongguan,National Taiwan University,G07,Gongguan,A02,Daan District,,,,,,G07
"33",臺電大樓站,25.01756,121.53139,G08,Taipower Building,"0",G08,Taipower Building,A03,Zhongzheng District,,,,,,G08
"34",古亭站,25.02613,121.52292,O05,Guting,"0",O05,Guting,A03,Zhongzheng District,,,,,,O05
"35",中正紀念堂站,25.03273,121.51827,G10,Chiang Kai-Shek Memorial Hall,Nanmen,G10,Chiang Kai-Shek Memorial Hall,A03,Zhongzheng District,,,,,,G10
"37",永安市場站,25.00237,121.51095,O03,Yongan Market,"0",,,,,F18,新北市,中和區,Zhonghe District,F,Zhonghe District
"38",景安站,24.99371,121.50462,O02,Jingan,"0",,,,,F18,新北市,中和區,Zhonghe District,F,Zhonghe District
"39",南勢角站,24.98992,121.50885,O01,Nanshijiao,"0",,,,,F18,新北市,中和區,Zhonghe District,F,Zhonghe District
"40",小南門站,25.03553,121.51088,G11,Xiaonanmen,"0",G11,Xiaonanmen,A03,Zhongzheng District,,,,,,G11
"41",臺大醫院站,25.04216,121.51628,R09,NTU Hospital,"0",R09,NTU Hospital,A03,Zhongzheng District,,,,,,R09
"42",臺北車站,25.04626,121.51748,BL12,Taipei Main Station,"0",BL12,Taipei Main Station,A03,Zhongzheng District,,,,,,BL12
"43",中山站,25.05290,121.52034,G14,Zhongshan,"0",G14,Zhongshan,A10,Zhongshan District,,,,,,G14
"44",雙連站,25.05790,121.52060,R12,Shuanglian,Mackay Memorial Hospital,R12,Shuanglian,A09,Datong District,,,,,,R12
"45",民權西路站,25.06288,121.51935,O11,Minquan West Road,"0",O11,Minquan West Road,A10,Zhongshan District,,,,,,O11
"46",圓山站,25.07135,121.52012,R14,Yuanshan,"0",R14,Yuanshan,A10,Zhongshan District,,,,,,R14
"47",劍潭站,25.08487,121.52508,R15,Jiantan,"0",,,,,A15,臺北市,士林區,Shilin District,A,Shilin District
"48",士林站,25.09353,121.52623,R16,Shilin,"0",,,,,A15,臺北市,士林區,Shilin District,A,Shilin District
"49",芝山站,25.10306,121.52251,R17,Zhishan,"0",,,,,A15,臺北市,士林區,Shilin District,A,Shilin District
"50",明德站,25.10972,121.51885,R18,Mingde,"0",,,,,A16,臺北市,北投區,Beitou District,A,Beitou District
"51",石牌站,25.11452,121.51556,R19,Shipai,Veterans General Hospital,,,,,A16,臺北市,北投區,Beitou District,A,Beitou District
"52",唭哩岸站,25.12087,121.50625,R20,Qilian,"0",,,,,A16,臺北市,北投區,Beitou District,A,Beitou District
"53",奇岩站,25.12611,121.50101,R21,Qiyan,"0",,,,,A16,臺北市,北投區,Beitou District,A,Beitou District
"54",北投站,25.13131,121.49918,R22,Beitou,"0",,,,,A16,臺北市,北投區,Beitou District,A,Beitou District
"55",新北投站,25.13694,121.50265,R22A,Xinbeitou,"0",,,,,A16,臺北市,北投區,Beitou District,A,Beitou District
"56",復興崗站,25.13820,121.49185,R23,Fuxinggang,"0",,,,,A16,臺北市,北投區,Beitou District,A,Beitou District
"57",忠義站,25.13106,121.47323,R24,Zhongyi,"0",,,,,A16,臺北市,北投區,Beitou District,A,Beitou District
"58",關渡站,25.12492,121.46551,R25,Guandu,"0",,,,,A16,臺北市,北投區,Beitou District,A,Beitou District
"59",竹圍站,25.13656,121.46009,R26,Zhuwei,"0",,,,,F27,新北市,淡水區,Danshui District,F,Danshui District
"60",紅樹林站,25.15404,121.45887,R27,Hongshulin,"0",,,,,F27,新北市,淡水區,Danshui District,F,Danshui District
"61",淡水站,25.16782,121.44556,R28,Tamsui,"0",,,,,F27,新北市,淡水區,Danshui District,F,Danshui District
"62",頂埔站,24.95944,121.41887,BL01,Dingpu,"0",,,,,F19,新北市,土城區,Tucheng District,F,Tucheng District
"63",永寧站,24.96680,121.43632,BL02,Yongning,"0",,,,,F19,新北市,土城區,Tucheng District,F,Tucheng District
"64",土城站,24.97322,121.44416,BL03,Tucheng,"0",,,,,F19,新北市,土城區,Tucheng District,F,Tucheng District
"65",海山站,24.98543,121.44861,BL04,Haishan,"0",,,,,F19,新北市,土城區,Tucheng District,F,Tucheng District
"66",亞東醫院站,24.99804,121.45251,BL05,Far Eastern Hospital,"0",,,,,F14,新北市,板橋區,Banqiao District,F,Banqiao District
