entrance_area,time,weekday,avg_ppl_in,exit_area,avg_ppl_out,net_flow
Tucheng Dist.,19,5,3345.79,Tucheng Dist.,1869.69,1476.10
BL15,18,6,3345.00,BL15,4234.52,-889.52
Danshui Dist.,21,2,3343.07,Danshui Dist.,1596.90,1746.17
Xinzhuang Dist.,20,0,3339.94,Xinzhuang Dist.,1349.02,1990.92
Sanzhong Dist.,8,0,3339.38,Sanzhong Dist.,13322.23,-9982.85
Xinzhuang Dist.,21,2,3332.00,Xinzhuang Dist.,1428.41,1903.59
BL15,14,4,3319.39,BL15,2768.36,551.03
Beitou Dist.,7,5,3317.05,Beitou Dist.,3016.55,300.50
Xinzhuang Dist.,21,1,3312.83,Xinzhuang Dist.,1353.39,1959.44
Wenshan Dist.,16,5,3311.79,Wenshan Dist.,4050.88,-739.09
Neihu Dist.,17,6,3310.52,Neihu Dist.,3041.77,268.75
BL16,13,5,3309.29,BL16,1679.83,1629.46
Wenshan Dist.,22,1,3308.48,Wenshan Dist.,1363.87,1944.61
BL15,16,4,3304.05,BL15,3495.78,-191.73
Neihu Dist.,20,0,3302.46,Neihu Dist.,3835.92,-533.46
Wenshan Dist.,13,5,3300.76,Wenshan Dist.,4255.14,-954.38
Wenshan Dist.,20,6,3300.49,Wenshan Dist.,1650.75,1649.74
BL18,11,0,3298.32,BL18,1556.83,1741.49
BL12,6,4,3298.18,BL12,1170.67,2127.51
BL15,11,3,3298.06,BL15,1145.10,2152.96
R03,14,5,3295.71,R03,2186.92,1108.79
BL18,12,3,3295.59,BL18,2038.02,1257.57
Danshui Dist.,16,1,3293.98,Danshui Dist.,2866.74,427.24
Xindian Dist.,16,1,3293.82,Xindian Dist.,2901.03,392.79
Neihu Dist.,20,1,3293.41,Neihu Dist.,3915.67,-622.26
G19,18,3,3292.01,G19,3006.68,285.33
BL18,13,1,3289.18,BL18,2303.94,985.24
Xinzhuang Dist.,22,1,3286.93,Xinzhuang Dist.,1459.52,1827.41
Wenshan Dist.,8,0,3286.84,Wenshan Dist.,9625.20,-6338.36
G14,17,3,3285.28,G14,3319.47,-34.19
BL16,14,5,3284.87,BL16,2246.25,1038.62
BL15,9,3,3284.29,BL15,1107.11,2177.18
Neihu Dist.,22,3,3282.17,Neihu Dist.,1884.90,1397.27
BL15,11,2,3280.63,BL15,1165.82,2114.81
Yonghe Dist.,18,5,3278.95,Yonghe Dist.,2228.25,1050.70
BL15,19,1,3275.70,BL15,4749.10,-1473.40
G14,17,2,3275.67,G14,3364.93,-89.26
Banqiao Dist.,23,6,3275.25,Banqiao Dist.,2188.40,1086.85
BL11,11,1,3274.70,BL11,2943.60,331.10
Nangang Dist.,12,4,3273.80,Nangang Dist.,3898.11,-624.31
Xinzhuang Dist.,18,6,3267.19,Xinzhuang Dist.,1985.26,1281.93
BL15,9,4,3266.29,BL15,1109.87,2156.42
Yonghe Dist.,21,2,3265.40,Yonghe Dist.,988.15,2277.25
Danshui Dist.,21,1,3262.35,Danshui Dist.,1548.69,1713.66
G19,18,2,3257.54,G19,2933.25,324.29
BL15,13,2,3256.53,BL15,2168.56,1087.97
BL18,15,4,3255.09,BL18,3309.39,-54.30
Neihu Dist.,18,6,3252.50,Neihu Dist.,2684.19,568.31
Danshui Dist.,21,6,3250.26,Danshui Dist.,2876.44,373.82
G16,7,1,3249.63,G16,933.60,2316.03
BL15,11,1,3248.28,BL15,1157.73,2090.55
Danshui Dist.,21,0,3246.69,Danshui Dist.,1659.69,1587.00
Wenshan Dist.,11,5,3241.47,Wenshan Dist.,3907.65,-666.18
G19,18,1,3241.41,G19,2951.38,290.03
BL15,11,0,3240.42,BL15,1158.95,2081.47
Tucheng Dist.,20,6,3239.85,Tucheng Dist.,1367.96,1871.89
Danshui Dist.,19,6,3239.48,Danshui Dist.,4503.96,-1264.48
Neihu Dist.,21,0,3239.29,Neihu Dist.,2711.46,527.83
Zhonghe Dist.,23,5,3235.38,Zhonghe Dist.,815.29,2420.09
Banqiao Dist.,8,6,3231.26,Banqiao Dist.,6258.06,-3026.80
G16,7,3,3228.76,G16,935.60,2293.16
BL11,11,3,3226.50,BL11,2883.40,343.10
BL15,19,0,3225.97,BL15,4782.99,-1557.02
BL15,13,3,3225.41,BL15,2183.30,1042.11
Danshui Dist.,16,3,3223.63,Danshui Dist.,2896.96,326.67
Danshui Dist.,22,2,3221.60,Danshui Dist.,1135.33,2086.27
Danshui Dist.,21,5,3221.25,Danshui Dist.,2980.51,240.74
Yonghe Dist.,21,1,3218.62,Yonghe Dist.,963.93,2254.69
Nangang Dist.,22,6,3209.86,Nangang Dist.,1847.94,1361.92
BL18,12,1,3208.27,BL18,1990.83,1217.44
Sanzhong Dist.,15,6,3207.77,Sanzhong Dist.,3348.24,-140.47
Wenshan Dist.,12,5,3207.07,Wenshan Dist.,4074.51,-867.44
Shilin Dist.,22,6,3206.92,Shilin Dist.,4109.64,-902.72
BL16,17,4,3206.63,BL16,3310.19,-103.56
Zhonghe Dist.,14,5,3203.54,Zhonghe Dist.,4623.29,-1419.75
Xindian Dist.,9,1,3200.06,Xindian Dist.,5741.02,-2540.96
Yonghe Dist.,17,5,3196.95,Yonghe Dist.,2313.13,883.82
O08,7,0,3196.86,O08,517.53,2679.33
G19,18,0,3195.81,G19,2822.89,372.92
G07,18,4,3195.59,G07,3984.42,-788.83
Xindian Dist.,16,3,3195.35,Xindian Dist.,2886.13,309.22
R03,14,6,3191.70,R03,2165.05,1026.65
BL12,6,2,3190.58,BL12,1136.34,2054.24
Danshui Dist.,19,5,3190.37,Danshui Dist.,4444.04,-1253.67
BL15,9,1,3189.07,BL15,1104.14,2084.93
BL12,6,1,3187.94,BL12,1206.89,1981.05
R14,18,1,3186.71,R14,2515.22,671.49
Xindian Dist.,9,3,3182.25,Xindian Dist.,5734.10,-2551.85
Nangang Dist.,10,5,3181.96,Nangang Dist.,4320.87,-1138.91
BL18,11,3,3181.84,BL18,1533.94,1647.90
Danshui Dist.,16,2,3179.74,Danshui Dist.,2887.15,292.59
Neihu Dist.,22,5,3179.00,Neihu Dist.,1189.10,1989.90
BL14,15,5,3173.44,BL14,2770.22,403.22
Nangang Dist.,10,3,3172.52,Nangang Dist.,3678.54,-506.02
Neihu Dist.,21,5,3172.46,Neihu Dist.,1453.92,1718.54
G16,7,4,3170.83,G16,926.74,2244.09
BL18,14,0,3168.15,BL18,2635.96,532.19
BL15,10,1,3161.08,BL15,915.36,2245.72
Neihu Dist.,22,2,3156.45,Neihu Dist.,1750.65,1405.80
R03,12,5,3154.57,R03,1363.61,1790.96
Beitou Dist.,8,6,3153.31,Beitou Dist.,3539.98,-386.67
Xindian Dist.,16,2,3152.63,Xindian Dist.,2856.84,295.79
Wenshan Dist.,19,6,3152.62,Wenshan Dist.,2232.21,920.41
G19,8,1,3149.37,G19,3373.15,-223.78
Danshui Dist.,22,1,3148.78,Danshui Dist.,1087.73,2061.05
Wenshan Dist.,10,5,3148.26,Wenshan Dist.,3321.32,-173.06
Xindian Dist.,9,4,3145.93,Xindian Dist.,5673.19,-2527.26
G14,17,1,3144.86,G14,3291.56,-146.70
G14,15,6,3143.23,G14,3045.66,97.57
Tucheng Dist.,7,1,3141.83,Tucheng Dist.,5853.13,-2711.30
Nangang Dist.,9,5,3141.40,Nangang Dist.,3906.67,-765.27
BL15,13,1,3140.79,BL15,2112.96,1027.83
G14,16,6,3139.07,G14,3266.37,-127.30
BL14,14,6,3138.06,BL14,2172.52,965.54
BL18,11,2,3136.42,BL18,1536.77,1599.65
BL15,10,2,3135.44,BL15,914.86,2220.58
Wenshan Dist.,19,5,3135.25,Wenshan Dist.,2816.70,318.55
Tucheng Dist.,22,6,3134.80,Tucheng Dist.,766.73,2368.07
BL15,13,0,3131.25,BL15,2112.79,1018.46
BL18,14,2,3128.74,BL18,2597.03,531.71
Xinzhuang Dist.,17,6,3126.62,Xinzhuang Dist.,2195.14,931.48
BL15,9,2,3125.66,BL15,1069.53,2056.13
Xindian Dist.,16,0,3124.21,Xindian Dist.,2819.39,304.82
BL15,10,3,3121.54,BL15,919.31,2202.23
G19,8,3,3121.41,G19,3358.14,-236.73
Wenshan Dist.,11,6,3120.17,Wenshan Dist.,3522.34,-402.17
Xindian Dist.,9,2,3118.98,Xindian Dist.,5601.75,-2482.77
Tucheng Dist.,19,6,3118.37,Tucheng Dist.,1599.16,1519.21
Wenshan Dist.,14,5,3114.29,Wenshan Dist.,3790.61,-676.32
Tucheng Dist.,7,3,3113.61,Tucheng Dist.,5807.71,-2694.10
Nangang Dist.,13,3,3112.45,Nangang Dist.,3680.23,-567.78
Neihu Dist.,22,1,3110.60,Neihu Dist.,1747.83,1362.77
Yonghe Dist.,20,4,3110.03,Yonghe Dist.,1212.23,1897.80
Danshui Dist.,22,5,3106.59,Danshui Dist.,1871.71,1234.88
O06,18,4,3105.95,O06,3444.41,-338.46
BL16,12,5,3097.21,BL16,1317.08,1780.13
BL16,11,5,3092.84,BL16,942.85,2149.99
Xinzhuang Dist.,21,0,3090.78,Xinzhuang Dist.,1290.66,1800.12
Xindian Dist.,15,5,3090.42,Xindian Dist.,3555.36,-464.94
G14,18,6,3088.00,G14,3585.26,-497.26
Xindian Dist.,9,0,3087.59,Xindian Dist.,5349.85,-2262.26
BL18,11,1,3087.14,BL18,1521.98,1565.16
BL15,10,6,3086.12,BL15,851.74,2234.38
Wenshan Dist.,22,0,3085.65,Wenshan Dist.,1222.27,1863.38
Tucheng Dist.,16,5,3083.65,Tucheng Dist.,2487.24,596.41
Beitou Dist.,23,4,3083.37,Beitou Dist.,1200.39,1882.98
Wenshan Dist.,10,6,3080.48,Wenshan Dist.,2835.75,244.73
G16,7,2,3080.18,G16,910.51,2169.67
Zhonghe Dist.,13,5,3078.78,Zhonghe Dist.,5479.10,-2400.32
Nangang Dist.,12,6,3078.21,Nangang Dist.,4343.59,-1265.38
BL18,14,3,3077.40,BL18,2638.82,438.58
R03,12,6,3075.99,R03,1324.17,1751.82
G19,8,4,3072.34,G19,3310.59,-238.25
Wenshan Dist.,20,5,3068.03,Wenshan Dist.,1957.77,1110.26
Tucheng Dist.,7,4,3067.19,Tucheng Dist.,5701.10,-2633.91
Wenshan Dist.,16,6,3066.20,Wenshan Dist.,3775.41,-709.21
Nangang Dist.,13,2,3065.56,Nangang Dist.,3619.30,-553.74
O06,8,1,3060.56,O06,1576.04,1484.52
BL18,16,0,3060.21,BL18,3466.54,-406.33
Xindian Dist.,22,6,3059.69,Xindian Dist.,1198.44,1861.25
Xinzhuang Dist.,21,5,3059.57,Xinzhuang Dist.,1528.65,1530.92
Yonghe Dist.,20,3,3055.97,Yonghe Dist.,1006.96,2049.01
BL15,10,0,3055.59,BL15,904.90,2150.69
R03,13,5,3053.83,R03,1888.51,1165.32
Xinzhuang Dist.,22,0,3052.67,Xinzhuang Dist.,1286.83,1765.84
Wenshan Dist.,13,6,3049.79,Wenshan Dist.,3905.81,-856.02
R09,7,1,3048.04,R09,250.86,2797.18
Sanzhong Dist.,14,5,3046.99,Sanzhong Dist.,3917.08,-870.09
BL16,16,5,3045.46,BL16,2985.42,60.04
R09,9,1,3044.72,R09,782.46,2262.26
Wenshan Dist.,16,4,3043.98,Wenshan Dist.,3663.47,-619.49
Yonghe Dist.,20,2,3043.65,Yonghe Dist.,983.12,2060.53
O08,18,3,3038.99,O08,9111.50,-6072.51
G19,8,2,3037.36,G19,3263.24,-225.88
BL16,9,1,3037.26,BL16,782.83,2254.43
Danshui Dist.,22,0,3036.62,Danshui Dist.,1130.39,1906.23
Danshui Dist.,20,6,3036.49,Danshui Dist.,3650.29,-613.80
BL15,15,4,3036.11,BL15,3096.45,-60.34
O06,8,3,3035.47,O06,1572.18,1463.29
Yonghe Dist.,20,1,3031.87,Yonghe Dist.,969.74,2062.13
BL16,9,3,3030.47,BL16,795.80,2234.67
Xindian Dist.,15,6,3030.41,Xindian Dist.,3431.12,-400.71
BL16,15,5,3023.11,BL16,2593.36,429.75
Wenshan Dist.,14,6,3022.39,Wenshan Dist.,3722.39,-700.00
BL14,9,4,3019.06,BL14,1099.06,1920.00
G14,17,0,3018.95,G14,3191.86,-172.91
R03,11,5,3018.48,R03,891.34,2127.14
Yonghe Dist.,21,0,3016.83,Yonghe Dist.,1004.37,2012.46
BL16,9,4,3016.42,BL16,803.69,2212.73
Sanzhong Dist.,13,5,3011.32,Sanzhong Dist.,4609.25,-1597.93
BL18,16,3,3008.08,BL18,3596.56,-588.48
Yonghe Dist.,21,5,3004.69,Yonghe Dist.,1199.05,1805.64
Zhonghe Dist.,14,6,3002.83,Zhonghe Dist.,4311.57,-1308.74
BL14,9,3,3001.82,BL14,1087.69,1914.13
Yonghe Dist.,20,0,3000.93,Yonghe Dist.,997.80,2003.13
O06,8,4,2994.87,O06,1548.38,1446.49
Neihu Dist.,16,4,2993.18,Neihu Dist.,3417.58,-424.40
Danshui Dist.,10,6,2991.37,Danshui Dist.,2751.93,239.44
Shilin Dist.,8,6,2990.77,Shilin Dist.,2314.12,676.65
Tucheng Dist.,7,2,2988.26,Tucheng Dist.,5599.31,-2611.05
BL15,14,2,2987.79,BL15,2503.43,484.36
G14,19,3,2987.15,G14,4057.39,-1070.24
BL11,9,4,2983.47,BL11,3264.44,-280.97
Wenshan Dist.,16,1,2980.59,Wenshan Dist.,3376.65,-396.06
BL18,16,2,2976.83,BL18,3474.91,-498.08
R14,18,4,2974.61,R14,2885.81,88.80
BL11,10,4,2974.07,BL11,2935.42,38.65
BL14,18,3,2972.52,BL14,5190.35,-2217.83
G10,18,4,2971.19,G10,4617.59,-1646.40
Yonghe Dist.,22,3,2964.81,Yonghe Dist.,868.06,2096.75
G16,7,0,2964.41,G16,865.93,2098.48
R03,11,6,2961.23,R03,873.89,2087.34
R09,7,3,2959.92,R09,230.41,2729.51
BL16,9,2,2957.78,BL16,767.12,2190.66
BL11,9,1,2957.45,BL11,3190.67,-233.22
BL18,14,1,2954.78,BL18,2503.76,451.02
Wenshan Dist.,12,6,2954.22,Wenshan Dist.,3708.40,-754.18
Danshui Dist.,10,5,2952.67,Danshui Dist.,3291.14,-338.47
Wenshan Dist.,15,5,2952.08,Wenshan Dist.,3651.21,-699.13
R09,7,4,2951.55,R09,243.06,2708.49
O09,9,3,2951.13,O09,1121.23,1829.90
Luzhou Dist.,17,1,2948.09,Luzhou Dist.,1047.62,1900.47
Nangang Dist.,11,6,2946.18,Nangang Dist.,4380.83,-1434.65
BL14,9,2,2945.53,BL14,1037.30,1908.23
R14,18,2,2945.45,R14,2564.06,381.39
O09,9,1,2945.22,O09,1122.26,1822.96
G07,8,1,2943.60,G07,1834.84,1108.76
O09,9,4,2942.80,O09,1126.36,1816.44
BL15,9,0,2942.48,BL15,1029.85,1912.63
BL15,19,5,2942.25,BL15,4594.79,-1652.54
R14,18,3,2939.75,R14,2610.08,329.67
O06,8,2,2936.58,O06,1532.73,1403.85
Yonghe Dist.,18,6,2936.15,Yonghe Dist.,1626.32,1309.83
Xinzhuang Dist.,19,5,2933.28,Xinzhuang Dist.,1828.89,1104.39
R09,9,4,2933.09,R09,761.05,2172.04
Tucheng Dist.,7,0,2931.54,Tucheng Dist.,5456.38,-2524.84
R09,9,2,2929.32,R09,718.07,2211.25
Yonghe Dist.,17,6,2925.97,Yonghe Dist.,1854.69,1071.28
BL14,9,1,2925.30,BL14,1071.94,1853.36
BL18,16,1,2925.18,BL18,3670.56,-745.38
BL11,9,2,2923.62,BL11,3097.73,-174.11
Beitou Dist.,23,5,2922.94,Beitou Dist.,1175.19,1747.75
BR12,8,1,2917.54,BR12,1797.17,1120.37
BL15,14,3,2916.11,BL15,2501.46,414.65
R09,9,3,2915.67,R09,739.36,2176.31
Nangang Dist.,10,2,2912.74,Nangang Dist.,3589.76,-677.02
Tucheng Dist.,16,6,2908.43,Tucheng Dist.,2321.03,587.40
BL11,9,3,2907.48,BL11,3179.07,-271.59
R09,7,2,2906.66,R09,226.82,2679.84
Luzhou Dist.,17,4,2905.72,Luzhou Dist.,1262.10,1643.62
BL15,14,0,2902.45,BL15,2477.65,424.80
Zhonghe Dist.,15,4,2901.69,Zhonghe Dist.,2499.59,402.10
Nangang Dist.,15,3,2901.22,Nangang Dist.,3025.18,-123.96
Yonghe Dist.,22,5,2900.34,Yonghe Dist.,1036.39,1863.95
Danshui Dist.,20,5,2899.70,Danshui Dist.,3585.15,-685.45
G14,19,2,2899.40,G14,4068.06,-1168.66
G19,8,0,2899.28,G19,3162.76,-263.48
BL11,22,3,2899.11,BL11,4713.35,-1814.24
Xindian Dist.,14,5,2894.49,Xindian Dist.,4131.08,-1236.59
BL13,7,1,2892.90,BL13,405.91,2486.99
Wenshan Dist.,15,6,2891.18,Wenshan Dist.,3599.97,-708.79
G14,12,4,2890.31,G14,1467.42,1422.89
BL15,16,2,2888.71,BL15,3185.24,-296.53
BR12,8,3,2887.46,BR12,1779.32,1108.14
Nangang Dist.,15,2,2885.56,Nangang Dist.,2917.97,-32.41
BL16,17,6,2881.13,BL16,3056.26,-175.13
Danshui Dist.,15,0,2879.18,Danshui Dist.,2570.49,308.69
G14,13,4,2878.81,G14,1893.55,985.26
O08,18,2,2875.98,O08,8818.31,-5942.33
BL15,16,3,2870.04,BL15,3157.74,-287.70
BL18,15,0,2868.68,BL18,2946.29,-77.61
Nangang Dist.,14,3,2867.03,Nangang Dist.,3149.41,-282.38
Nangang Dist.,10,0,2863.44,Nangang Dist.,3528.75,-665.31
Sanzhong Dist.,23,4,2862.97,Sanzhong Dist.,1014.10,1848.87
G07,8,3,2862.80,G07,1804.09,1058.71
BL14,18,2,2861.85,BL14,5059.02,-2197.17
Neihu Dist.,16,5,2860.73,Neihu Dist.,3000.10,-139.37
Nangang Dist.,8,5,2860.67,Nangang Dist.,3466.06,-605.39
BR12,8,4,2859.80,BR12,1750.63,1109.17
Danshui Dist.,14,0,2859.33,Danshui Dist.,2516.03,343.30
Banqiao Dist.,7,5,2858.81,Banqiao Dist.,5297.44,-2438.63
BL15,14,1,2858.29,BL15,2471.70,386.59
BL13,7,3,2853.67,BL13,391.32,2462.35
BL14,13,6,2853.60,BL14,1890.37,963.23
Sanzhong Dist.,14,6,2850.06,Sanzhong Dist.,3717.64,-867.58
BL18,20,4,2848.14,BL18,5292.63,-2444.49
Sanzhong Dist.,23,5,2847.90,Sanzhong Dist.,1184.73,1663.17
Nangang Dist.,14,2,2845.41,Nangang Dist.,3124.65,-279.24
Nangang Dist.,15,0,2844.53,Nangang Dist.,2940.94,-96.41
Neihu Dist.,22,0,2844.18,Neihu Dist.,1593.11,1251.07
R03,13,6,2842.85,R03,1818.82,1024.03
Nangang Dist.,13,0,2842.46,Nangang Dist.,3494.30,-651.84
BL14,18,1,2841.66,BL14,5042.73,-2201.07
BL11,9,0,2839.68,BL11,3114.50,-274.82
Tucheng Dist.,16,4,2838.37,Tucheng Dist.,2123.58,714.79
BL17,18,4,2838.16,BL17,3387.02,-548.86
R09,7,0,2837.51,R09,274.31,2563.20
BL14,9,0,2834.32,BL14,1004.78,1829.54
Tucheng Dist.,8,1,2834.25,Tucheng Dist.,10569.85,-7735.60
Sanzhong Dist.,12,5,2833.05,Sanzhong Dist.,4380.58,-1547.53
BR12,8,2,2832.32,BR12,1746.97,1085.35
Luzhou Dist.,17,3,2832.00,Luzhou Dist.,1078.09,1753.91
BL11,10,0,2831.90,BL11,2840.88,-8.98
R14,8,3,2830.53,R14,3021.39,-190.86
R03,10,5,2829.88,R03,597.95,2231.93
Wenshan Dist.,16,2,2829.17,Wenshan Dist.,3288.04,-458.87
BL10,17,5,2828.70,BL10,2667.22,161.48
Nangang Dist.,13,1,2827.49,Nangang Dist.,3407.39,-579.90
Wenshan Dist.,16,3,2826.22,Wenshan Dist.,3318.84,-492.62
BL15,16,1,2825.88,BL15,3155.83,-329.95
Neihu Dist.,21,6,2823.85,Neihu Dist.,1118.17,1705.68
G07,18,3,2820.59,G07,3603.54,-782.95
Yonghe Dist.,22,2,2820.54,Yonghe Dist.,839.78,1980.76
Wenshan Dist.,9,1,2814.94,Wenshan Dist.,5182.91,-2367.97
BL16,9,0,2814.77,BL16,756.65,2058.12
G07,18,2,2814.06,G07,3484.90,-670.84
Zhonghe Dist.,12,5,2813.88,Zhonghe Dist.,5260.88,-2447.00
Xindian Dist.,13,5,2813.77,Xindian Dist.,4721.44,-1907.67
G07,17,5,2811.77,G07,3756.34,-944.57
Luzhou Dist.,17,2,2811.60,Luzhou Dist.,1075.30,1736.30
R09,9,0,2810.15,R09,755.15,2055.00
Danshui Dist.,12,0,2809.05,Danshui Dist.,2381.82,427.23
BL15,16,0,2808.20,BL15,3118.21,-310.01
R14,8,4,2805.96,R14,2906.67,-100.71
BL11,22,6,2805.71,BL11,4532.75,-1727.04
R14,8,1,2805.06,R14,3017.10,-212.04
Yonghe Dist.,22,1,2803.14,Yonghe Dist.,820.12,1983.02
Nangang Dist.,12,3,2802.82,Nangang Dist.,3439.84,-637.02
Xindian Dist.,14,6,2802.76,Xindian Dist.,3841.94,-1039.18
Tucheng Dist.,8,3,2799.86,Tucheng Dist.,10508.63,-7708.77
Xinzhuang Dist.,16,5,2799.82,Xinzhuang Dist.,2353.71,446.11
Nangang Dist.,15,1,2799.32,Nangang Dist.,2771.57,27.75
BL14,15,6,2794.14,BL14,2527.71,266.43
O09,9,2,2792.18,O09,1090.71,1701.47
G16,17,4,2790.83,G16,3446.35,-655.52
G07,8,4,2787.20,G07,1825.06,962.14
BL16,13,6,2786.38,BL16,1438.22,1348.16
O09,9,0,2786.04,O09,1062.79,1723.25
BL10,17,4,2784.79,BL10,2489.83,294.96
BL18,9,5,2782.13,BL18,1227.37,1554.76
Neihu Dist.,19,5,2781.65,Neihu Dist.,2300.51,481.14
R14,18,0,2779.56,R14,2500.03,279.53
BL14,12,5,2779.27,BL14,1704.28,1074.99
Wenshan Dist.,16,0,2779.09,Wenshan Dist.,3197.85,-418.76
G14,19,1,2777.85,G14,3983.37,-1205.52
BL11,10,2,2775.66,BL11,2750.82,24.84
BL16,17,2,2772.02,BL16,3040.76,-268.74
Neihu Dist.,16,1,2772.00,Neihu Dist.,3043.22,-271.22
BL13,7,2,2771.55,BL13,379.20,2392.35
BL18,15,2,2770.11,BL18,2801.88,-31.77
Tucheng Dist.,8,4,2769.33,Tucheng Dist.,10336.85,-7567.52
O08,18,1,2769.03,O08,9056.02,-6286.99
G14,19,5,2768.54,G14,3664.99,-896.45
O06,8,0,2767.27,O06,1411.81,1355.46
G14,10,5,2766.58,G14,1052.56,1714.02
BL11,9,5,2766.28,BL11,2498.65,267.63
G07,8,2,2763.14,G07,1786.41,976.73
Xinzhuang Dist.,21,6,2760.86,Xinzhuang Dist.,1267.94,1492.92
Wenshan Dist.,9,5,2759.58,Wenshan Dist.,3307.14,-547.56
Nangang Dist.,12,2,2759.32,Nangang Dist.,3395.08,-635.76
BL11,10,1,2758.23,BL11,2811.36,-53.13
Luzhou Dist.,17,0,2757.86,Luzhou Dist.,1072.02,1685.84
R03,18,4,2757.19,R03,6015.46,-3258.27
Zhonghe Dist.,15,1,2756.27,Zhonghe Dist.,2276.56,479.71
BL14,16,5,2750.55,BL14,3396.80,-646.25
G07,18,5,2749.76,G07,3338.41,-588.65
O05,9,1,2748.78,O05,1830.98,917.80
Neihu Dist.,19,6,2745.19,Neihu Dist.,1725.36,1019.83
BL16,17,3,2744.15,BL16,3019.42,-275.27
Zhonghe Dist.,8,1,2744.08,Zhonghe Dist.,18111.87,-15367.79
BL16,11,6,2743.43,BL16,800.52,1942.91
O06,18,3,2743.27,O06,3322.23,-578.96
O05,17,4,2741.92,O05,3195.55,-453.63
Zhonghe Dist.,15,2,2740.62,Zhonghe Dist.,2317.20,423.42
Danshui Dist.,14,4,2740.04,Danshui Dist.,2926.63,-186.59
Nangang Dist.,10,1,2739.63,Nangang Dist.,3563.67,-824.04
O10,8,1,2738.94,O10,1539.72,1199.22
BR12,8,0,2738.67,BR12,1630.85,1107.82
BL13,7,4,2733.39,BL13,386.98,2346.41
BL16,14,6,2732.40,BL16,2009.85,722.55
Xinzhuang Dist.,19,6,2729.69,Xinzhuang Dist.,1463.26,1266.43
BL11,10,3,2727.13,BL11,2768.14,-41.01
O10,8,3,2724.00,O10,1532.74,1191.26
Luzhou Dist.,22,4,2723.24,Luzhou Dist.,457.52,2265.72
BL18,15,3,2722.51,BL18,2850.41,-127.90
G07,18,1,2722.36,G07,3542.38,-820.02
Nangang Dist.,14,0,2722.13,Nangang Dist.,3083.49,-361.36
BL11,22,2,2721.42,BL11,4657.49,-1936.07
Xindian Dist.,12,5,2719.45,Xindian Dist.,4430.83,-1711.38
Danshui Dist.,22,6,2718.40,Danshui Dist.,1454.36,1264.04
G10,7,3,2716.11,G10,923.26,1792.85
G10,7,1,2715.27,G10,916.64,1798.63
G10,13,5,2714.40,G10,2072.81,641.59
Tucheng Dist.,16,1,2714.38,Tucheng Dist.,2057.36,657.02
R14,8,2,2711.92,R14,2938.40,-226.48
BL15,15,2,2711.30,BL15,2811.21,-99.91
G14,11,4,2707.57,G14,1188.93,1518.64
O05,9,3,2707.38,O05,1850.57,856.81
Nangang Dist.,11,4,2706.26,Nangang Dist.,3492.59,-786.33
Xinzhuang Dist.,20,6,2702.72,Xinzhuang Dist.,1289.84,1412.88
R03,16,5,2701.16,R03,3080.06,-378.90
O06,18,2,2701.03,O06,3235.20,-534.17
Tucheng Dist.,8,2,2700.59,Tucheng Dist.,10241.64,-7541.05
O05,9,4,2699.85,O05,1859.08,840.77
G14,9,3,2697.57,G14,1051.61,1645.96
BL15,15,0,2696.37,BL15,2810.07,-113.70
Zhonghe Dist.,15,0,2696.16,Zhonghe Dist.,2401.14,295.02
Zhonghe Dist.,8,3,2690.10,Zhonghe Dist.,18026.14,-15336.04
BL15,15,3,2690.09,BL15,2809.47,-119.38
G14,19,0,2689.80,G14,3912.24,-1222.44
BL11,22,0,2689.04,BL11,4332.26,-1643.22
G14,9,4,2688.24,G14,1066.48,1621.76
Tucheng Dist.,8,0,2687.54,Tucheng Dist.,9870.94,-7183.40
R14,8,0,2686.94,R14,2810.45,-123.51
G10,7,4,2686.86,G10,901.93,1784.93
G14,9,1,2686.64,G14,1048.36,1638.28
Neihu Dist.,16,3,2686.18,Neihu Dist.,2952.95,-266.77
BL14,18,0,2684.33,BL14,4953.03,-2268.70
Neihu Dist.,20,6,2684.10,Neihu Dist.,1276.68,1407.42
Zhonghe Dist.,15,3,2684.09,Zhonghe Dist.,2256.18,427.91
Xinzhuang Dist.,8,1,2683.78,Xinzhuang Dist.,9867.67,-7183.89
G14,12,2,2683.17,G14,1433.84,1249.33
G14,14,4,2682.34,G14,2190.50,491.84
Wenshan Dist.,9,3,2681.58,Wenshan Dist.,5262.76,-2581.18
BL10,19,4,2680.84,BL10,1909.03,771.81
O05,9,2,2680.02,O05,1811.77,868.25
O10,8,4,2677.55,O10,1510.79,1166.76
G10,13,6,2676.51,G10,1903.64,772.87
Neihu Dist.,16,6,2673.47,Neihu Dist.,2552.28,121.19
Xinzhuang Dist.,22,6,2671.29,Xinzhuang Dist.,1027.18,1644.11
R03,15,5,2671.17,R03,2711.11,-39.94
Zhonghe Dist.,8,4,2670.88,Zhonghe Dist.,17772.85,-15101.97
Danshui Dist.,15,4,2669.39,Danshui Dist.,2958.32,-288.93
O06,18,1,2665.30,O06,3280.43,-615.13
Wenshan Dist.,9,2,2664.81,Wenshan Dist.,5066.04,-2401.23
Xinzhuang Dist.,20,5,2660.50,Xinzhuang Dist.,1367.31,1293.19
G10,7,2,2660.26,G10,878.78,1781.48
Neihu Dist.,16,2,2660.01,Neihu Dist.,2860.97,-200.96
BL18,19,6,2659.31,BL18,4735.22,-2075.91
