entrance_area,time,weekday,avg_ppl_in,exit_area,avg_ppl_out,net_flow
Sanzhong Dist.,6,0,761.74,Sanzhong Dist.,1853.78,-1092.04
BL19,13,3,760.54,BL19,924.48,-163.94
G10,21,1,759.92,G10,1682.32,-922.40
G10,20,1,759.86,G10,1364.76,-604.90
O09,22,3,759.49,O09,1216.79,-457.30
Yonghe Dist.,8,5,759.29,Yonghe Dist.,2246.15,-1486.86
R04,12,4,759.19,R04,683.57,75.62
BR08,8,5,758.71,BR08,471.56,287.15
BL19,9,5,758.71,BL19,988.28,-229.57
BR08,17,6,758.64,BR08,865.01,-106.37
G10,20,0,758.31,G10,1252.67,-494.36
Luzhou Dist.,7,3,757.95,Luzhou Dist.,4053.59,-3295.64
G08,12,1,757.56,G08,724.99,32.57
R04,20,3,757.08,R04,1256.46,-499.38
Shilin Dist.,0,4,756.81,Shilin Dist.,1146.85,-390.04
BL18,7,6,756.76,BL18,420.12,336.64
R02,17,0,756.73,R02,998.47,-241.74
Luzhou Dist.,7,4,755.92,Luzhou Dist.,3962.00,-3206.08
BL19,14,0,755.37,BL19,803.28,-47.91
BR08,13,3,754.87,BR08,709.88,44.99
G13,12,6,754.68,G13,579.43,175.25
BR15,19,0,754.35,BR15,1058.57,-304.22
R03,21,3,754.26,R03,2308.28,-1554.02
G19,10,5,754.08,G19,921.21,-167.13
R05,7,5,753.88,R05,287.27,466.61
R02,17,1,752.77,R02,1029.82,-277.05
R04,15,2,752.69,R04,689.80,62.89
G08,12,0,752.65,G08,696.14,56.51
G08,14,0,752.38,G08,684.70,67.68
BL13,15,0,751.82,BL13,954.83,-203.01
R02,18,5,751.53,R02,945.09,-193.56
G08,10,6,751.39,G08,679.11,72.28
BL19,10,3,750.99,BL19,885.93,-134.94
BR14,8,0,750.93,BR14,997.04,-246.11
O10,12,6,749.67,O10,789.21,-39.54
R05,21,0,749.35,R05,1639.56,-890.21
BR08,10,4,749.17,BR08,555.84,193.33
G19,10,2,748.91,G19,803.53,-54.62
R12,22,5,748.91,R12,1068.84,-319.93
Shilin Dist.,0,5,748.77,Shilin Dist.,1352.90,-604.13
R04,14,4,748.59,R04,776.70,-28.11
G11,18,2,748.36,G11,1497.76,-749.40
O10,14,6,747.83,O10,820.05,-72.22
R04,20,2,747.59,R04,1215.71,-468.12
R04,13,6,747.05,R04,699.37,47.68
Sanzhong Dist.,0,3,747.01,Sanzhong Dist.,299.34,447.67
G10,20,6,747.00,G10,993.57,-246.57
BR14,17,0,746.89,BR14,1096.78,-349.89
BL10,23,5,746.23,BL10,629.63,116.60
Shilin Dist.,6,6,746.21,Shilin Dist.,645.12,101.09
Luzhou Dist.,14,4,745.56,Luzhou Dist.,961.00,-215.44
G08,22,1,745.49,G08,1039.38,-293.89
O10,16,0,744.72,O10,841.87,-97.15
R02,17,2,744.65,R02,1040.68,-296.03
G19,9,5,744.59,G19,918.45,-173.86
BR07,21,4,744.29,BR07,529.97,214.32
Luzhou Dist.,13,4,743.45,Luzhou Dist.,1188.82,-445.37
R04,15,6,743.22,R04,765.34,-22.12
BR14,19,4,742.48,BR14,734.68,7.80
R02,16,5,742.18,R02,668.72,73.46
O10,13,1,741.75,O10,696.10,45.65
BR08,10,3,741.35,BR08,523.41,217.94
BL19,11,6,740.99,BL19,1084.95,-343.96
BR07,17,6,740.82,BR07,531.41,209.41
BR14,8,4,740.82,BR14,1075.11,-334.29
BR15,19,1,740.55,BR15,1072.19,-331.64
Beitou Dist.,0,6,740.32,Beitou Dist.,305.81,434.51
BR08,10,1,740.26,BR08,523.12,217.14
BL17,20,5,740.23,BL17,1342.61,-602.38
R04,20,1,740.08,R04,1225.85,-485.77
BR08,13,1,739.90,BR08,698.45,41.45
BR12,22,4,739.34,BR12,730.92,8.42
G11,18,1,739.11,G11,1613.66,-874.55
O10,13,3,739.01,O10,678.22,60.79
Beitou Dist.,0,2,738.94,Beitou Dist.,316.51,422.43
BL15,22,6,738.45,BL15,3488.51,-2750.06
BR15,15,6,738.20,BR15,1021.98,-283.78
R04,12,6,738.12,R04,629.38,108.74
BR12,18,6,737.47,BR12,662.17,75.30
BL18,23,5,737.18,BL18,2752.92,-2015.74
R06,17,5,737.16,R06,1365.29,-628.13
Sanzhong Dist.,0,0,736.97,Sanzhong Dist.,290.96,446.01
R04,21,3,736.83,R04,1218.02,-481.19
R12,21,3,736.68,R12,1524.55,-787.87
R06,18,2,736.68,R06,1194.42,-457.74
G19,22,6,736.00,G19,1373.81,-637.81
BL19,13,0,735.62,BL19,877.37,-141.75
R06,18,1,735.40,R06,1239.07,-503.67
R05,19,6,734.91,R05,790.45,-55.54
BR12,13,5,734.73,BR12,830.04,-95.31
BL19,10,2,734.72,BL19,872.59,-137.87
R04,12,2,734.68,R04,653.34,81.34
O10,22,0,733.94,O10,764.67,-30.73
BR12,21,3,733.91,BR12,863.61,-129.70
BL18,23,4,733.70,BL18,2747.94,-2014.24
BR12,16,1,732.97,BR12,625.03,107.94
O11,22,3,732.88,O11,1125.06,-392.18
G10,7,5,732.29,G10,517.95,214.34
BR12,12,5,731.76,BR12,805.00,-73.24
O09,22,2,730.99,O09,1163.86,-432.87
Luzhou Dist.,7,1,730.87,Luzhou Dist.,4065.87,-3335.00
G19,11,4,730.76,G19,800.05,-69.29
R04,15,0,730.76,R04,682.59,48.17
G16,22,0,730.46,G16,2052.62,-1322.16
Sanzhong Dist.,0,2,730.33,Sanzhong Dist.,289.41,440.92
BR14,19,1,730.14,BR14,666.09,64.05
BR14,19,0,729.73,BR14,616.79,112.94
Luzhou Dist.,11,5,729.57,Luzhou Dist.,2035.38,-1305.81
BR14,9,3,728.87,BR14,598.97,129.90
O10,11,4,728.09,O10,640.71,87.38
BL10,23,4,728.09,BL10,565.77,162.32
O10,22,6,727.97,O10,571.55,156.42
R06,18,3,727.59,R06,1198.43,-470.84
R09,17,6,727.07,R09,1405.12,-678.05
Zhonghe Dist.,7,6,726.42,Zhonghe Dist.,2036.31,-1309.89
O10,12,1,725.96,O10,683.57,42.39
Luzhou Dist.,7,2,725.94,Luzhou Dist.,3874.68,-3148.74
R09,16,5,725.19,R09,1159.29,-434.10
O10,14,4,724.47,O10,721.93,2.54
R04,21,6,724.42,R04,792.14,-67.72
BL15,7,5,724.05,BL15,367.19,356.86
G13,10,5,723.98,G13,426.63,297.35
O12,13,5,723.39,O12,929.14,-205.75
O09,22,1,723.36,O09,1125.84,-402.48
R12,7,5,722.71,R12,336.57,386.14
BR12,16,5,722.42,BR12,816.49,-94.07
BR14,9,1,722.36,BR14,604.49,117.87
BR12,16,3,721.98,BR12,620.22,101.76
O06,22,3,721.91,O06,1351.10,-629.19
O09,7,5,721.73,O09,357.82,363.91
BR14,19,2,720.87,BR14,670.06,50.81
G13,13,4,720.83,G13,661.22,59.61
G13,11,6,720.50,G13,515.76,204.74
Neihu Dist.,7,6,720.27,Neihu Dist.,882.40,-162.13
BR08,9,5,720.03,BR08,572.42,147.61
Beitou Dist.,0,0,719.69,Beitou Dist.,312.41,407.28
O12,14,5,719.08,O12,817.14,-98.06
BR14,19,3,718.27,BR14,673.19,45.08
O10,12,2,717.70,O10,725.23,-7.53
R02,16,6,717.65,R02,665.50,52.15
R04,12,3,716.89,R04,629.28,87.61
R04,10,5,716.86,R04,616.54,100.32
G17,19,6,716.78,G17,1144.81,-428.03
Danshui Dist.,6,3,716.61,Danshui Dist.,1270.38,-553.77
BR08,16,2,716.56,BR08,777.27,-60.71
R12,21,2,716.42,R12,1476.45,-760.03
G10,21,0,714.97,G10,1409.46,-694.49
R12,21,1,714.90,R12,1431.78,-716.88
BR08,16,3,714.56,BR08,781.11,-66.55
O10,15,6,714.27,O10,789.33,-75.06
BR08,10,0,713.95,BR08,511.75,202.20
R04,21,0,713.82,R04,1097.46,-383.64
R12,21,6,713.31,R12,981.00,-267.69
Beitou Dist.,0,1,713.13,Beitou Dist.,321.82,391.31
R09,15,6,712.69,R09,918.48,-205.79
Danshui Dist.,6,0,712.48,Danshui Dist.,1242.05,-529.57
R03,21,6,711.73,R03,2288.58,-1576.85
BL19,12,0,711.60,BL19,813.91,-102.31
R05,22,5,711.59,R05,1031.99,-320.40
BR08,12,4,711.41,BR08,732.63,-21.22
R04,21,2,710.95,R04,1183.21,-472.26
BR08,16,5,710.75,BR08,839.83,-129.08
BR08,13,0,710.71,BR08,628.05,82.66
R05,20,5,710.42,R05,867.34,-156.92
BL19,10,0,709.99,BL19,838.83,-128.84
O10,15,4,709.13,O10,734.42,-25.29
G19,11,0,708.32,G19,768.89,-60.57
BR08,16,1,708.07,BR08,849.89,-141.82
Sanzhong Dist.,0,6,707.55,Sanzhong Dist.,327.98,379.57
Sanzhong Dist.,0,1,707.46,Sanzhong Dist.,293.85,413.61
BR08,14,5,707.17,BR08,771.35,-64.18
G08,22,0,705.08,G08,910.94,-205.86
R06,7,1,704.99,R06,362.57,342.42
G13,16,4,704.87,G13,799.65,-94.78
R02,15,5,704.64,R02,613.19,91.45
